Student,LPIPS,SSIM
111590028.png,0.16433443129062653,0.7474952249970006
114054809.png,0.20604167878627777,0.7056758229709152
113590051.png,0.27309393882751465,0.7394855285897733
113590036.png,0.28424620628356934,0.6659635742469143
113590052.png,0.29260140657424927,0.6988559432477719
113590039.png,0.2964152693748474,0.6963204383230858
111590047.png,0.29664409160614014,0.6804912009028689
113590031.png,0.3020692467689514,0.6889243181153987
113AC1012.png,0.3066852390766144,0.6551199596892378
113590022.png,0.30792444944381714,0.7173606394849703
113370239.png,0.308624267578125,0.701650321332049
113590056.png,0.3091893494129181,0.6567688691229774
112590452.png,0.3201729655265808,0.6338608448838311
113590061.png,0.32043129205703735,0.7038987304099925
113590001.png,0.3237804174423218,0.6503020586639875
113590062.png,0.3289666473865509,0.6067934596354093
113590060.png,0.3310403823852539,0.7028039476150301
113590003.png,0.3390417993068695,0.660851476195189
112590040.png,0.34351956844329834,0.6465971188670722
113590026.png,0.3465885519981384,0.6670865965760878
113590018.png,0.3470671772956848,0.6237654907377318
113590040.png,0.3522278964519501,0.7310758172580492
113590015.png,0.35563191771507263,0.6343074263819897
113590045.png,0.3572140634059906,0.6105444308623409
112590455.png,0.3587767481803894,0.6403338908145848
113590021.png,0.3588198125362396,0.6643209112649932
111590062.png,0.3634432852268219,0.6645358776096566
113590044.png,0.36583033204078674,0.6232616923945743
112590454.png,0.370827853679657,0.624554744288724
113590032.png,0.37830328941345215,0.695684997443201
113590057.png,0.37855464220046997,0.6159097115767572
113590047.png,0.3885877728462219,0.7220571827664217
113590011.png,0.3914376199245453,0.5934777619559771
113590050.png,0.4016558527946472,0.5563194412236708
113590006.png,0.40182992815971375,0.5817758444498041
113AB0018.png,0.4048527181148529,0.5899466010762221
113590004.png,0.40726736187934875,0.7306118910198219
113590023.png,0.40927234292030334,0.5390572247941058
113590025.png,0.4138046205043793,0.7467083725912069
113590002.png,0.4146217107772827,0.5947407282422255
113590042.png,0.41608431935310364,0.5944483474584832
113590043.png,0.41990333795547485,0.7442016150851137
113590010.png,0.4257045388221741,0.602533411191538
111590042.png,0.44858720898628235,0.7510037809664416
113590028.png,0.44914910197257996,0.5585342267799185
113590059.png,0.4651724100112915,0.5354005035277225
113590049.png,0.4689631760120392,0.49967409933117823
113590008.png,0.4908984303474426,0.4576988746928716
111590455.png,0.4989878535270691,0.5175700468977666
112590058.jpg,0.5214673280715942,0.41473288838796984
